county_code,county_name,county_fips
1,ALCONA,001
2,ALGER,003
3,ALLEGAN,005
4,ALPENA,007
5,ANTRIM,009
6,ARENAC,011
7,BARAGA,013
8,BARRY,015
9,BAY,017
10,BENZIE,019
11,BERRIEN,021
12,BRANCH,023
13,CALHOUN,025
14,CASS,027
15,CHARLEVOIX,029
16,CHEBOYGAN,031
17,CHIPPEWA,033
18,CLARE,035
19,CLINTON,037
20,CRAWFORD,039
21,DELTA,041
22,DICKINSON,043
23,EATON,045
24,EMMET,047
25,GENESEE,049
26,GLADWIN,051
27,GOGEBIC,053
28,GD. TRAVERSE,055
29,GRATIOT,057
30,HILLSDALE,059
31,HOUGHTON,061
32,HURON,063
33,INGHAM,065
34,IONIA,067
35,IOSCO,069
36,IRON,071
37,ISABELLA,073
38,JACKSON,075
39,KALAMAZOO,077
40,KALKASKA,079
41,KENT,081
42,KEWEENAW,083
43,LAKE,085
44,LAPEER,087
45,LEELANAU,089
46,LENAWEE,091
47,LIVINGSTON,093
48,LUCE,095
49,MACKINAC,097
50,MACOMB,099
51,MANISTEE,101
52,MARQUETTE,103
53,MASON,105
54,MECOSTA,107
55,MENOMINEE,109
56,MIDLAND,111
57,MISSAUKEE,113
58,MONROE,115
59,MONTCALM,117
60,MONTMORENCY,119
61,MUSKEGON,121
62,NEWAYGO,123
63,OAKLAND,125
64,OCEANA,127
65,OGEMAW,129
66,ONTONAGON,131
67,OSCEOLA,133
68,OSCODA,135
69,OTSEGO,137
70,OTTAWA,139
71,PRESQUE ISLE,141
72,ROSCOMMON,143
73,SAGINAW,145
74,ST. CLAIR,147
75,ST. JOSEPH,149
76,SANILAC,151
77,SCHOOLCRAFT,153
78,SHIAWASSEE,155
79,TUSCOLA,157
80,VAN BUREN,159
81,WASHTENAW,161
82,WAYNE,163
83,WEXFORD,165